Round,Date,Home Team,Score,Away Team,Notes
Fourth round,Jan 24-Feb 5, 2020,Sheffield United,2-0,Millwall,Sheffield United won match in normal time
Fourth round,Jan 24-Feb 5, 2020,Birmingham City,2-2,Coventry City,Birmingham City won replayed match on penalty kicks following extra time
Fourth round,Jan 24-Feb 5, 2020,Manchester City,4-0,Fulham,Manchester City won match in normal time
Third round,Jan 4-23, 2020,Cardiff City,4-3,Carlisle United,Cardiff City won replayed match in normal time
Third round,Jan 4-23, 2020,Brentford,1-0,Stoke City,Brentford won match in normal time
Third round,Jan 4-23, 2020,Norwich City,4-2,Preston North End,Norwich City won match in normal time
Third round,Jan 4-23, 2020,Tranmere Rovers,2-1,Watford,Tranmere Rovers won replayed match following extra time
Third round,Jan 4-23, 2020,Oxford United,4-1,Hartlepool United,Oxford United won match in normal time
Third round,Jan 4-23, 2020,Hull City,3-2,Rotherham United,Hull City won match in normal time
Third round,Jan 4-23, 2020,Derby County,1-0,Crystal Palace,Derby County won match in normal time
Third round,Jan 4-23, 2020,Newcastle United,4-1,Rochdale,Newcastle United won replayed match in normal time
Third round,Jan 4-23, 2020,Arsenal,1-0,Leeds United,Arsenal won match in normal time
Third round,Jan 4-23, 2020,West Ham United,2-0,Gillingham,West Ham United won match in normal time
Third round,Jan 4-23, 2020,Sheffield United,2-1,Fylde,Sheffield United won match in normal time
Third round,Jan 4-23, 2020,Manchester City,4-1,Port Vale,Manchester City won match in normal time
Third round,Jan 4-23, 2020,Coventry City,3-0,Bristol Rovers,Coventry City won replayed match in normal time
Third round,Jan 4-23, 2020,Millwall,3-0,Newport County,Millwall won match in normal time
Third round,Jan 4-23, 2020,West Brom,1-0,Charlton Athletic,West Brom won match in normal time
Third round,Jan 4-23, 2020,Reading,2-0,Blackpool,Reading won replayed match in normal time
Third round,Jan 4-23, 2020,Tottenham Hotspur,2-1,Middlesbrough,Tottenham Hotspur won replayed match in normal time
Third round,Jan 4-23, 2020,Fulham,2-1,Aston Villa,Fulham won match in normal time
Third round,Jan 4-23, 2020,Manchester United,1-0,Wolves,Manchester United won replayed match in normal time
Third round,Jan 4-23, 2020,Shrewsbury Town,1-0,Bristol City,Shrewsbury Town won replayed match in normal time
Third round,Jan 4-23, 2020,Northampton Town,4-2,Burton Albion,Northampton Town won match in normal time
Third round,Jan 4-23, 2020,Sheffield Wednesday,1-0,Brighton,Sheffield Wednesday won match in normal time
Third round,Jan 4-23, 2020,Liverpool,1-0,Everton,Liverpool won match in normal time
Third round,Jan 4-23, 2020,Portsmouth,2-1,Fleetwood Town,Portsmouth won match in normal time
Third round,Jan 4-23, 2020,Burnley,4-2,Peterborough United,Burnley won match in normal time
Third round,Jan 4-23, 2020,Birmingham City,2-1,Blackburn Rovers,Birmingham City won match in normal time
Third round,Jan 4-23, 2020,Bournemouth,4-0,Luton Town,Bournemouth won match in normal time
Third round,Jan 4-23, 2020,Chelsea,2-0,Nottingham Forest,Chelsea won match in normal time
Third round,Jan 4-23, 2020,Leicester City,2-0,Wigan Athletic,Leicester City won match in normal time
Third round,Jan 4-23, 2020,Barnsley,3-1,Crewe Alexandra,Barnsley won match in normal time
Third round,Jan 4-23, 2020,Southampton,2-0,Huddersfield Town,Southampton won match in normal time
Third round,Jan 4-23, 2020,QPR,5-1,Swansea City,QPR won match in normal time
