Day,Match_Day,Date,Referee,Team,Opponent,Formation,Possession,Open_Play_Pass,Passes_Completed,Passes_Under_Pressure,Ground_Passes,High_Passes,SoT%,G/SoT,Avg_Shots_Distance,FK_Shots,PK,Shot_Creating_Actions,Successful_Dribbles,Final_Third_Entries,Final_Third_Entries_Allowed,Save%,Clean_Sheet,PK_Allowed,Defensive_Actions,Aerial_Battles_Won%,OG,xG,xGA,npxG,npxGA,Scored,Conceded,xpts,Net_npxG,PPDA,Allowed_PPDA,Total_Points,Pts,Total_Goals,Total_Conceded,Result,Home_Shots,Home_SoT,Home_Fouls,Home_Corners,Home_Yellow,Home_Red,Away_Shots,Away_SoT,Away_Fouls,Away_Corners,Away_Yellow,Away_Red
Thu,16.0,10/16/2019 20:00,L Mason,Bournemouth,Watford,3-5-2,55.459094162935585,669.807654158843,410.606354010858,79.7502878796512,274.45665573200586,82.2988398143438,30.06616286309001,0.4718402319650137,15,0,0.45037271196662043,14.50862229857158,64.10526496712171,2.5685463230478547,4.967876047304155,94.06489217976727,1.0259257706560179,-0.2729565969792239,-0.22061818512825615,56.48694050009474,0.2703772318377689,1.2138336263975709,0.17748574591384947,1.6781863873539646,0.11898109153642822,1.3746476747134122,0,0.9614343811970821,0.3164948319473453,1.102978942531264,8.635739588327853,16,1,0,9,l,9,4,1,5,1,0,9,5,11,3,1,0
Sun,23.0,01/27/2020 20:00,J Moss,Manchester United,Crystal Palace,3-5-2,60.03666227977567,380.31018308982095,239.00554901569743,64.73349839393391,416.828494233252,117.55921505558823,50.45442135170636,0.3455387659582278,15,0,-0.2030217296969866,24.165883974817405,66.38056199538639,6.784726893425249,9.715504307902053,93.17387676722137,-0.4687503135806634,0.1960260658015151,0.3769241466896094,40.650079904606855,0.2717920185143443,0.5256994142642123,1.8460625412121359,0.9193142342289335,0.5919379645820075,1.0336284593559255,0,2.6271788990541127,-1.1638226273766297,5.9469726224536466,3.319525248061355,26,4,36,22,l,13,9,15,3,2,0,14,5,12,8,2,0
Sat,1.0,08/14/2019 20:00,M Dean,Burnley,Leicester,4-1-4-1,64.99255954576952,633.5343119798135,300.6839268217109,123.72656071620229,293.0847909600488,57.13361331943477,16.014955463067242,0.22729570961697998,13,0,0.4857965354864755,9.126243242135043,46.27347875039133,7.438741906802084,11.968911992910943,47.38018613116547,-0.04190730066956111,-0.10257904364303391,1.9168090533335613,48.50619010251451,0.02776621405205267,1.0784654293995346,0.6804160676694321,1.9993210678192033,1.2028484188850865,3.5020575937208913,1,1.2988359661141782,0.061928570101877696,10.41394663461549,11.890417727346247,14,1,0,16,w,8,6,13,11,1,0,7,3,7,1,1,0
Sat,18.0,09/10/2019 20:00,R Jones,Bournemouth,Aston Villa,3-5-2,39.73418566869864,575.1880448196302,-10.594676220269434,141.77020776677455,571.6217524763141,95.97720101929885,42.460714935230186,0.484997927714406,10,1,-0.09144469706128941,19.5954550697668,58.50278496200329,11.558965602624113,3.3345358519290778,64.78490365350662,0.7214898158544829,0.4244071860805405,0.5379108914734174,49.28002772468691,-0.015469340233742856,1.3182328321891537,0.7527488734654784,1.6458230648477334,0.614896014542538,-0.009822143510105796,2,2.0451906590857964,2.768408412815526,8.088207738082696,18.459374269863165,19,2,6,24,w,21,7,7,11,1,0,16,4,17,10,3,0
Thu,5.0,08/23/2019 20:00,M Dean,Tottenham,Manchester City,4-1-4-1,66.00896356049951,285.0416011479375,531.3448353457219,73.37925628062125,356.3595577043658,75.09611982885012,51.98177249947569,0.25380686117565815,14,0,-0.23197392056666313,26.902973299359967,61.44910493784839,-4.502297859613192,9.046035555393582,46.27733609199754,0.0570054727770859,0.05568596106540863,0.6168930644963562,58.49620010110097,0.008110004543093338,0.9497697590093807,0.7820969024250062,1.9113637627738396,1.230768529551201,0.2049019929929392,1,1.0554768610992737,0.40175687014789413,21.017444591319055,8.947581886544093,19,0,9,30,w,19,4,10,4,1,0,2,4,13,6,0,0
Thu,4.0,10/05/2019 20:00,A Madley,Bournemouth,Brighton,4-4-2,30.0,589.9797940732713,309.03928010388086,114.80176738400522,264.9173514642278,47.0439505883609,45.17261043770932,0.3969314460505167,14,0,0.12215081331408925,34.71283666510537,48.16175979099802,8.803384225605551,11.015364497762526,92.74670926181712,0.4249800496625583,-0.2537820759985133,0.23892146163772587,46.71480073673875,0.2719846442500014,1.9648383856180984,0.4809363896466331,3.3878570981714455,0.8746240977614436,1.156548895139991,1,0.7417169755114289,-0.6642233545141804,14.116836960086921,2.4776109276104137,27,1,32,0,d,14,5,6,5,2,0,10,2,11,5,2,0
Wed,25.0,02/25/2020 20:00,D England,Leicester,Burnley,4-2-3-1,52.41868171873827,490.5389743669218,546.7059190815421,99.49269342220825,380.8064340342813,96.42288809193157,56.06767269985579,0.5894854706124596,14,1,0.1309489089455259,28.14378175574956,98.68864648428043,7.651592634242312,3.361125832735079,69.84745824164492,-0.6878915586726451,-0.25493781238540225,-1.2208396708839464,56.180241374461865,-0.0711203943188346,1.83832334675666,0.18474260080095495,1.680954018390327,1.085864214165132,0.7223616430099872,0,2.2807836051299812,-0.5387738247123117,26.62297215926841,19.52672133340222,10,2,25,20,d,12,3,7,6,0,0,7,4,8,6,0,0
Sat,24.0,03/06/2020 20:00,S Scott,Bournemouth,Everton,3-4-1-2,70.0,339.3624933731319,346.03482199158844,61.94702775301726,401.4697696637988,101.82337431341278,17.574684115362,0.3080064772118741,18,0,-0.08515505766008874,19.939112671421597,53.50916318479453,3.5951148259163954,4.911142110763053,100.0,0.18593943740005603,0.2411394446858424,1.0274783521536368,47.10109812906701,-0.07720132962859882,2.895225855179053,-0.23741342365486306,1.1253526828116418,1.1329634176038716,2.801594081485625,3,2.2997680126236806,-1.4985265834213315,4.936762639879174,9.531916617089282,27,3,1,0,l,19,2,7,8,0,0,4,5,11,5,4,0
Fri,19.0,10/26/2019 20:00,S Scott,Norwich,West Ham,4-3-2-1,57.47995038922827,665.2957057331173,316.3549756235489,116.54177360475387,645.4583805970981,92.41413283233011,54.00583587873406,0.13189472438828076,16,0,-0.20941226206372596,19.971917418476487,55.58934568136474,17.850766539956574,5.2933358350857596,84.46500289873673,-0.19543513940656332,0.38393000095034246,0.9568054977937772,62.52164828722573,0.33817054360562043,1.651701872790235,1.2692178499007374,2.531999202828219,0.9724401016758293,2.2494459023637123,0,2.8397894613757666,-0.48452635335090083,6.960477111227213,7.755133302174893,24,0,30,31,l,23,8,11,6,3,0,4,5,10,6,1,0
Mon,1.0,01/09/2020 20:00,S Attwell,Everton,Arsenal,4-4-1-1,55.751566017028026,352.7899704424241,275.2920088983612,81.30349466477465,316.5326083573533,123.24523133517843,9.668265598376745,-0.06595665196428413,21,1,0.04617881582847073,20.65104846408898,59.48569006271806,-1.350849123185779,-0.2021689330029366,100.0,0.13377004811944668,0.27218394188636497,1.1625360560108247,44.456844427226905,-0.13373781375732074,1.0653389003141025,2.6227468818575037,1.4657620632955966,0.9533595037096311,0.8389411148875509,2,1.444257247870628,1.1209956600656248,19.9373376962686,14.317680815701005,24,0,35,20,w,22,5,8,8,1,0,14,6,6,5,0,0
Sun,13.0,02/06/2020 20:00,D Coote,Tottenham,Brighton,4-1-4-1,43.315936308378305,455.0971030303807,326.39204810418676,82.97504836708204,180.53811010442587,77.8028263747286,11.586906825246075,0.6696282153076388,15,0,0.5519324778009551,4.107640632993817,78.95557586248991,6.497166523727083,1.98321177964496,49.39277830176176,0.13706415189670135,-0.10229327834227289,2.7319535957572008,56.53046147534758,0.24211698142779672,0.8833152628104051,1.9091590877161049,2.3059244801330188,0.13091678516852956,2.686157538368689,2,1.0209089350568434,-1.1234877965069885,-2.030066104675603,8.828836857798581,33,1,39,33,l,16,4,10,5,3,0,0,3,17,3,1,0
Sun,13.0,10/21/2019 20:00,P Tierney,Aston Villa,Burnley,4-3-2-1,65.43850449701362,588.3131318868276,274.55831181099154,73.83745263112736,239.97936912553183,97.3367090529734,46.11205212802607,0.4351902471733339,18,0,0.23484792132763796,11.656410244448438,110.27050330296976,11.261993109360409,3.6129159149460945,91.64283294980432,0.04318798823084419,-0.15098045454152548,-0.24040631441072136,36.747423430361714,0.07014406597343109,1.0340645047167967,1.0268677455026023,1.4663003488547852,1.0737995341746813,0.9626561629327832,1,2.4481580584584792,-2.2862045477648896,13.212160822596303,19.327594862385908,46,3,23,1,l,5,2,11,9,1,0,8,4,4,5,1,0
Fri,5.0,10/22/2019 20:00,S Scott,Brighton,Everton,3-4-1-2,58.29258623743962,583.4951584142937,408.37831501492565,112.64379248421926,424.3418669225133,122.69938062950408,20.822847106949325,0.1700463342330784,22,1,0.6648904725135886,26.795485123053645,58.14171885376361,6.183378011663752,5.8557557296256775,32.57448860196056,0.4499554840444162,0.21517930805233626,1.950140140709093,40.454318635910894,-0.29193145901938317,1.8816096689894948,1.809016072280557,1.6294684460786497,0.9962464211682891,0.3771743963658156,1,0.9328113867405861,0.28024345145228585,-3.9949175719477594,18.5470948331139,16,1,11,30,w,18,5,14,7,1,0,15,1,11,5,1,0
Fri,1.0,11/17/2019 20:00,C Pawson,Manchester City,Everton,4-3-3,32.458421519871294,483.65580343644336,191.34707273661877,57.162416420408526,279.37471794706437,105.41859010588624,45.31990556859291,0.5045000102952109,16,0,0.6944767450742588,21.440424140354445,71.94148706381523,9.421920728259618,6.709377308945237,100.0,-0.032654902327317714,0.05683771968107139,0.46526868665198834,32.19766627383158,0.09488898034548567,3.0563156091808605,2.8991310679160067,1.8477754514498965,2.0739945146879997,1.385397158117329,0,0.2342524638654202,3.1427534280152423,25.077330218823608,10.556885718829223,22,0,40,30,d,14,7,8,6,1,0,14,1,12,0,2,0
Sun,1.0,11/09/2019 20:00,O Langford,Leicester,Aston Villa,3-4-3,62.500980674651146,381.0487146558972,337.75294191117854,156.74114061547365,410.7981148204478,83.29074700277522,48.932167002290825,0.21587842624193218,18,1,0.26269205604490375,20.932761293624413,79.59279662318154,17.153571471812754,6.994079152145243,61.25615360812308,0.17367805450733848,-0.009968506571471344,0.7708068521334768,55.57007494967473,-0.049311936407577715,1.523522094254069,-0.3522088282330884,1.569235738685731,1.9130766903668768,1.2250023961393421,0,0.7229109217224344,0.6644806402331755,8.952542126485463,9.383501151548593,5,0,50,24,w,3,0,11,4,0,0,7,3,6,8,0,0
Mon,3.0,09/08/2019 20:00,C Kavanagh,Norwich,Leicester,4-1-4-1,30.0,285.9986582415181,370.1382330471862,81.94288464627051,366.7540536446883,75.88098435974764,24.628351784765727,0.5184894768071113,11,1,0.300174930537873,12.486820696530266,61.23152660850601,11.546375432420618,4.968545246427864,96.2082341120996,0.6080668993948576,0.5105164791356733,0.11601867818387568,37.130977186025966,-0.189597084456873,2.6060531035219974,0.23740965601844377,1.8119757496194853,1.963403008519287,-0.12842680199748946,0,1.2274908214945157,-0.061540716270884276,18.937497116184563,6.879938888383859,7,3,3,0,d,21,4,7,8,3,0,7,8,13,7,2,0
Sun,13.0,08/22/2019 20:00,P Tierney,Manchester City,Brighton,3-4-3,58.12058175005101,533.1301571391331,635.5670251500487,131.70959886339384,263.37811952504035,81.56759260351447,36.50085351165045,0.04197918684940283,17,0,0.45339777808177095,22.106705546684367,50.10573252773696,7.44474686599586,0.6302363743042116,68.84475054668702,0.38603138119487623,0.13600680335124685,0.9818659795973151,53.57778019797619,0.013818027693268037,0.2666481176269293,1.638852425411002,0.9928142736401523,1.9523083257510119,0.013674641764776174,0,1.5025398850193272,-0.28153799717427636,8.201777416415673,25.043060133086506,8,2,47,0,d,10,7,12,3,1,0,8,10,12,3,3,0
Fri,18.0,09/21/2019 20:00,S Attwell,Southampton,Norwich,4-3-2-1,40.86108024165315,417.3009867606458,440.7712893279511,104.66282445301165,332.5080619569238,94.5925065221962,41.57266616008627,0.10786253988274566,13,1,0.52490939228215,15.745436373208472,57.02569565652002,7.234440814684464,12.47920336341584,82.31514255914635,0.523838646822202,-0.07033362460691386,1.3926356741772683,35.747338189007515,0.2134166579680248,1.2666519316333977,1.0717837530076442,1.9192415853212246,1.744723280466585,0.6507030164494044,0,1.334733850136514,-0.22620813923616173,9.547929868262012,18.353159532710542,9,0,17,19,d,9,8,13,6,0,0,14,0,8,0,2,0
Mon,9.0,10/11/2019 20:00,K Friend,Bournemouth,Manchester City,4-4-1-1,50.48744527955368,509.44288893894264,303.98712964938795,109.25064544108514,41.464558453721054,118.95987741222174,37.99297179069039,0.35834018019916,16,0,-0.23697792148493327,22.180273565898357,91.53160314654039,2.0769126270198335,2.333496793432711,65.02625077711197,-0.0013489551782394638,0.4912953355871449,-0.7604377712934395,65.10201613726514,0.18053694749868254,1.2337280300170346,2.94459961052515,2.624794042053747,2.786422836300269,-2.5177459369944484,1,0.026505365580026252,-1.2842681622953318,14.121394955577212,10.672482258838919,16,0,13,46,d,15,3,12,10,0,0,19,0,8,11,1,0
Mon,20.0,01/29/2020 20:00,T Robinson,Manchester City,Arsenal,3-4-1-2,66.53000913720149,238.17790237482637,344.4960526049021,48.16726738498222,299.84933528738134,85.26630949178607,56.85231043905162,0.9875654545169407,16,0,0.30597432714154277,10.332084475634018,60.58939634786484,0.47613608712522115,1.565771291520738,60.73665191264058,0.36198442541058595,0.2831707282349987,0.004201649898338711,43.79922708087857,0.003943344312685296,-0.7496188930808931,1.2457038327653147,1.7420413120921476,1.7358560281607418,0.9355841067365478,2,1.552629522497898,2.077641822622738,8.482310414855315,10.923325734525914,38,2,10,22,w,8,2,11,7,2,0,5,9,12,8,1,0
Sat,3.0,01/12/2020 20:00,P Bankes,Liverpool,Manchester United,4-3-3,30.0,487.42322253575503,306.87699127507653,42.130955048384,279.210118379512,100.77734547461077,34.87521754644411,0.5408171493542338,25,1,0.15369134447951538,7.947543773022758,45.396511327839676,0.8249309857414193,14.476524260320385,100.0,-0.12486442398421743,0.05133456142569034,-0.7163099958539031,27.760440049322142,-0.35669299264969095,3.302055106360421,2.007067191163078,0.31997771947312725,2.884836787218571,3.90040120281189,0,1.3110976128666214,-0.3741340285070637,14.742836332398454,17.991580372548892,53,2,11,26,l,0,6,8,7,0,0,14,2,2,3,2,0
Mon,13.0,01/30/2020 20:00,R Jones,Newcastle,Sheffield United,3-4-3,30.0,434.499594496615,-39.236368466384874,85.1043465145752,263.49962613318525,43.74177749192514,18.09841700072207,-0.0798340548403455,18,0,-0.24632803645525372,23.686844500341863,58.11116876114905,-2.373684169579528,10.108759104497304,49.059259867737154,0.15247856390024872,0.29839285764658774,-1.0938851650124888,50.80495161282059,0.4788035112533647,2.9179698027820247,2.4907656829658484,1.577031661064255,1.976254377311182,1.2279959613976124,2,0.9909661622143577,0.15148624947964243,19.22799543783402,9.35963131237206,33,1,33,36,l,14,4,10,7,1,0,14,5,7,4,2,0
Tue,14.0,09/18/2019 20:00,M Dean,Brighton,West Ham,4-3-2-1,58.32341732309474,651.9046746208544,341.27403314847777,82.39584856002449,185.43977891461074,138.2296364869936,32.81510755162953,0.14778693732947895,13,1,0.32094105431462905,7.7330903824993396,48.71707785043213,11.337001934355552,7.450119901145992,45.69731406120064,-0.09391838599902214,0.2855448349311712,-0.3475671133155973,55.21807235075656,0.25801371936054096,1.2300551520358536,3.3209524263926102,1.7220126555970234,2.397657608797308,0.8429490786776946,0,2.199407371662439,0.09208622447626125,6.43676225257261,12.230828590790441,27,0,25,18,w,8,5,11,9,0,0,16,1,10,7,3,0
Thu,4.0,01/04/2020 20:00,D England,Wolves,Arsenal,4-3-2-1,30.680459892341222,657.2650178048427,415.1027592554642,54.74564132382075,305.5259431221584,76.48324233965336,27.8460827695235,0.2559693554711937,7,0,0.16753588692461024,18.295637343084294,68.01492646486578,9.770947654784553,-0.332414012048865,71.33210569994611,1.1233378426035432,0.16901354788920422,-0.005927650949998919,34.8076738321724,0.498235297135107,-0.07141845230504229,0.5125434425538326,2.095624652116316,0.36857014701351454,1.7765646132235413,2,1.6483312408845594,0.6973174659943393,10.472504013740986,10.630105681175761,31,2,20,20,d,22,0,8,0,1,0,17,3,15,2,1,0
Fri,25.0,08/21/2019 20:00,T Robinson,Watford,Chelsea,3-4-1-2,62.118708361795456,364.7254047149999,732.5063741505825,137.22824895253785,471.9095571816514,113.93177085483357,36.834161451431434,0.28589672038700403,12,0,0.18546016529868886,26.950339501856334,112.88956591603133,0.141622320558219,4.1175581042008575,89.8155375380811,0.5493121313176705,-0.29952854397790274,-1.0883498168836896,56.811395690813065,0.07279550941584426,3.2864845879250053,2.048930142818879,0.4548975902996736,1.5967859912801545,0.37299866682154525,1,1.0439995781141471,0.24586489414033671,6.494236324806632,22.19607116869366,15,3,14,42,w,17,0,8,9,1,0,12,2,14,1,3,0
Wed,29.0,10/17/2019 20:00,S Attwell,Aston Villa,Norwich,3-4-1-2,70.0,746.8594818823163,290.5434009744857,54.357923902936776,301.01619980344896,87.72842207549623,50.64982790277328,0.5029908826812863,15,0,0.06791022158612633,25.035715374563623,73.80195547073426,3.544343033788077,9.617719893931591,100.0,0.04104944721097839,-0.09274455156426198,1.9066586592018204,38.19220628436612,0.2423692612467984,1.1356982527342927,1.8190599162424106,1.8498127385852392,0.26331534272094514,2.7549150819326984,3,0.9556207561558516,1.3391791218957014,4.864220169125054,11.7477197326701,40,1,26,16,d,19,4,12,5,2,0,9,2,1,2,0,0
Wed,29.0,01/10/2020 20:00,D Coote,Southampton,Norwich,3-4-1-2,37.74518525082453,698.9282994674036,431.3683484623865,140.10721508293142,765.3884308331535,119.90741517663301,58.51029146454013,0.4457528071890842,18,1,-0.036396871494733876,41.78310967389524,51.65419914777806,6.0841852535997605,1.6423095856635088,35.11360580958606,0.6797789879196544,0.13855950455668747,-0.6166642581593885,56.86771469894737,0.26896957501170593,3.089154741836487,1.1181242385064665,1.9021268964191327,2.0190799155518313,1.3792471505275836,1,2.5046994361991866,-0.25138947136279893,21.640943636777088,15.144687050701219,3,2,35,29,w,15,6,7,13,0,0,12,4,4,4,0,0
Fri,15.0,12/16/2019 20:00,M Oliver,Crystal Palace,West Ham,4-3-2-1,50.40037373953771,495.0483694822095,95.58493113532734,133.03900763019496,310.9989006871666,102.98825010596683,3.107776990692038,0.3090495835189648,14,0,0.362450384112201,20.32263028709735,72.90356173186412,7.964485239145885,8.177772463026193,16.527563820387932,0.03352955643451394,-0.24724494381143622,1.3049033209941139,38.28097990071736,0.21528382612352645,0.15035194656975426,0.4749580898145602,2.0515618243748914,1.0230134324715516,2.6163959335303764,0,2.6932939696341127,0.03232868216216815,16.723488565557524,26.31042472286088,12,0,29,27,w,13,3,12,3,1,0,1,3,8,1,3,0
Thu,15.0,08/30/2019 20:00,G Scott,West Ham,Chelsea,4-3-3,45.73128597056218,278.02749886743607,357.88756495066076,119.76944154216089,200.91149231643578,134.3969809458324,41.87611438573492,0.40662578202099076,19,1,-0.18942702278941512,23.80531582994961,47.039670720629964,3.2173741270556886,8.299000447397708,47.005396371744425,-0.1671271949716106,-0.23714959010873807,0.11327226772620508,57.628454473975516,-0.11222347197935725,1.3330912282385112,1.953831184653392,1.1692417173034722,1.5549526656508104,2.7712728247911445,1,1.9078970234426276,-1.2892671193608713,25.94950493627816,6.50810164648856,32,1,24,16,w,10,4,1,7,0,0,6,4,18,1,3,0
Sat,28.0,10/23/2019 20:00,K Friend,Burnley,Everton,4-3-3,53.341125340020405,534.0254324965947,461.34592350711085,97.13999041048199,286.60684220844973,141.57703471279135,61.71310049796775,0.02650489639395931,20,0,0.5626828211499321,24.852707222240493,82.97828284041563,5.105824175697984,4.905581952607053,46.0899312155301,0.6703162488003827,0.22401225577755493,0.3054345722651807,45.04441415194997,-0.3721048467825113,1.5803152953675625,1.2055184980166338,0.9034561586831789,1.4312963874601332,1.0560664193982356,1,2.100795772126812,-0.8195945721554541,-3.3929257901709473,9.85509710531733,38,2,28,19,w,5,3,6,7,2,0,18,5,11,3,2,0
Thu,2.0,02/15/2020 20:00,O Langford,Southampton,Chelsea,3-4-1-2,47.38928040918632,358.39453465141673,262.5238962153247,71.97415715820595,3.3124825825326525,110.92372691834551,22.197376185532683,0.056887448600812074,16,0,-0.008723730342536415,27.167326080582722,78.0083110400019,2.7522363114656643,8.740822062168036,92.45518686393507,0.3816770686443735,0.02146670342834152,0.5448484299219473,39.87478017824642,0.04002322551310281,1.8821986768527865,0.5338022959506937,0.76620707494768,0.17009631094560151,1.4445407636545424,1,1.831819707824753,2.1893971023111494,10.638363052310789,18.14980837908585,10,0,22,12,d,6,2,12,3,1,0,12,3,10,4,4,0
